publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,publisher,book_id
1975,Beowulf,"Unknown, Seamus Heaney",en-US,Novice,3.42,155903,genre fiction,HarperCollins Publishers,1
1987,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",eng,Intermediate,4.23,145267,genre fiction,HarperCollins Publishers,2
2015,Go Set a Watchman,Harper Lee,eng,Novice,3.31,138669,genre fiction,"Amazon Digital Services,  Inc.",3
2008,When You Are Engulfed in Flames,David Sedaris,en-US,Intermediate,4.04,150898,fiction,Hachette Book Group,4
2011,Daughter of Smoke & Bone,Laini Taylor,eng,Intermediate,4.04,198283,genre fiction,Penguin Group (USA) LLC,5
2015,Red Queen,Victoria Aveyard,eng,Intermediate,4.08,83354,genre fiction,"Amazon Digital Services,  Inc.",6
2011,The Power of Habit,Charles Duhigg,eng,Intermediate,4.03,155977,genre fiction,HarperCollins Publishers,7
1994,Midnight in the Garden of Good and Evil,John Berendt,eng,Intermediate,3.9,167997,nonfiction,Hachette Book Group,8
2012,Hopeless,Colleen Hoover,eng,Intermediate,4.34,189938,genre fiction,HarperCollins Publishers,9
1905,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",eng,Intermediate,4.2,199872,genre fiction,Random House LLC,10
2004,The Truth About Forever,Sarah Dessen,en-US,Intermediate,4.13,179415,genre fiction,"Amazon Digital Services,  Inc.",11
1954,The horse and his boy,C.S. Lewis,eng,Intermediate,3.9,189671,fiction,Penguin Group (USA) LLC,12
2010,Last Sacrifice ,Richelle Mead,eng,Famous,4.42,206792,genre fiction,"Amazon Digital Services,  Inc.",13
1935,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.18,195424,genre fiction,HarperCollins Publishers,14
1922,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",eng,Intermediate,4.29,173469,genre fiction,Random House LLC,15
1974,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,eng,Intermediate,3.76,139411,genre fiction,"Amazon Digital Services,  Inc.",16
1897,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",eng,Intermediate,3.8,159752,genre fiction,"Amazon Digital Services,  Inc.",17
2006,Pretty Little Liars,Sara Shepard,en-US,Intermediate,3.9,156328,genre fiction,"Amazon Digital Services,  Inc.",18
1948,Corduroy,Don Freeman,en-US,Intermediate,4.28,160860,genre fiction,Simon and Schuster Digital Sales Inc,19
2006,The Omnivore's Dilemma,Michael Pollan,eng,Intermediate,4.17,133271,genre fiction,"Amazon Digital Services,  Inc.",20
2013,Life After Life,Kate Atkinson,eng,Intermediate,3.74,138454,genre fiction,"Amazon Digital Services,  Inc.",21
2000,The Rescue,Nicholas Sparks,en-US,Intermediate,4.1,142092,genre fiction,"Amazon Digital Services,  Inc.",22
1991,Needful Things,Stephen King,,Intermediate,3.87,153821,genre fiction,"Amazon Digital Services,  Inc.",23
1993,Voyager,Diana Gabaldon,eng,Intermediate,4.38,157395,genre fiction,"Amazon Digital Services,  Inc.",24
1996,,"Kenneth Branagh, William Shakespeare",eng,Intermediate,4.12,156869,genre fiction,"Amazon Digital Services,  Inc.",25
1981,Cujo,Stephen King,spa,Intermediate,3.65,158215,genre fiction,"Amazon Digital Services,  Inc.",26
1993,The Virgin Suicides,Jeffrey Eugenides,eng,Intermediate,3.83,159249,genre fiction,Penguin Group (USA) LLC,27
2004,Dead to the World,Charlaine Harris,eng,Intermediate,4.13,199572,genre fiction,"Amazon Digital Services,  Inc.",28
1891,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",eng,Intermediate,3.77,171599,nonfiction,Hachette Book Group,29
1856,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",eng,Intermediate,3.64,158877,genre fiction,"Amazon Digital Services,  Inc.",30
1961,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",en-US,Intermediate,4.22,178432,genre fiction,"Amazon Digital Services,  Inc.",31
2010,The Way of Kings,Brandon Sanderson,eng,Famous,4.64,144822,genre fiction,"Amazon Digital Services,  Inc.",32
2003,Club Dead,Charlaine Harris,en-GB,Intermediate,4.03,181323,genre fiction,HarperCollins Publishers,33
2006,It's Kind of a Funny Story,Ned Vizzini,en-US,Intermediate,4.14,161001,nonfiction,HarperCollins Publishers,34
2007,,Brandon Sanderson,eng,Intermediate,4.35,150736,genre fiction,Random House LLC,35
2015,After You,Jojo Moyes,eng,Intermediate,3.7,99342,genre fiction,"Amazon Digital Services,  Inc.",36
2011,The Language of Flowers,Vanessa Diffenbaugh,eng,Intermediate,4.07,140076,genre fiction,"Amazon Digital Services,  Inc.",37
1986,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",eng,Intermediate,4.25,135979,genre fiction,"Amazon Digital Services,  Inc.",38
2005,The Angel Experiment,James Patterson,eng,Intermediate,4.08,172302,genre fiction,"Amazon Digital Services,  Inc.",39
1995,High Fidelity,Nick Hornby,eng,Intermediate,3.94,134849,genre fiction,Random House LLC,40
2003,The Guardian,Nicholas Sparks,en-US,Intermediate,4.14,136427,genre fiction,"Amazon Digital Services,  Inc.",41
2003,Oryx and Crake,Margaret Atwood,eng,Intermediate,4.0,151500,genre fiction,"Amazon Digital Services,  Inc.",42
1998,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,en-US,Intermediate,3.52,113915,genre fiction,"Amazon Digital Services,  Inc.",43
